epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.322,0.64559,0.43348,0.96846,0.9187,0.95907,0.9735,0.76394,0.92387,0.54341,1.2599,0.0011882,0.0011882,0.0011882
43,394.382,0.65969,0.44786,0.98202,0.97322,0.9387,0.98476,0.7707,0.92413,0.50558,1.26967,0.0011684,0.0011684,0.0011684
44,401.287,0.64911,0.43261,0.97961,0.96534,0.90406,0.97913,0.76746,0.9021,0.52335,1.2555,0.0011486,0.0011486,0.0011486
45,408.205,0.63137,0.42224,0.96775,0.93461,0.94938,0.97927,0.76265,0.94543,0.52219,1.24985,0.0011288,0.0011288,0.0011288
46,415.21,0.65749,0.43193,0.9814,0.97173,0.91144,0.98,0.75538,0.91597,0.50611,1.24543,0.001109,0.001109,0.001109
47,422.088,0.62816,0.42766,0.96505,0.94772,0.95203,0.98365,0.78708,0.8544,0.48077,1.20781,0.0010892,0.0010892,0.0010892
48,429.021,0.63368,0.42246,0.97686,0.9758,0.90037,0.97108,0.77425,0.87839,0.50313,1.2054,0.0010694,0.0010694,0.0010694
49,436.045,0.62575,0.40861,0.96608,0.95953,0.96251,0.98974,0.78681,0.87481,0.49138,1.20017,0.0010496,0.0010496,0.0010496
50,443.058,0.61886,0.40659,0.96661,0.93861,0.95203,0.98188,0.78252,0.90131,0.46925,1.25076,0.0010298,0.0010298,0.0010298
51,450.048,0.63666,0.4177,0.97562,0.92673,0.95941,0.97984,0.76717,0.88477,0.51578,1.2651,0.00101,0.00101,0.00101
52,459.329,0.61457,0.40811,0.96842,0.96632,0.97417,0.99145,0.79754,0.85284,0.45011,1.19767,0.0009902,0.0009902,0.0009902
53,469.655,0.60015,0.39835,0.95262,0.96404,0.91882,0.98411,0.78943,0.86123,0.47247,1.21804,0.0009704,0.0009704,0.0009704
54,477.598,0.61728,0.39944,0.95926,0.97296,0.9262,0.98468,0.78166,0.89466,0.4966,1.22805,0.0009506,0.0009506,0.0009506
55,485.589,0.60547,0.40447,0.97109,0.97222,0.94465,0.98571,0.79489,0.84028,0.47723,1.19022,0.0009308,0.0009308,0.0009308
56,493.59,0.57551,0.3787,0.94269,0.96971,0.94503,0.98837,0.78619,0.87045,0.44604,1.23412,0.000911,0.000911,0.000911
57,501.615,0.60126,0.38539,0.95222,0.95299,0.95203,0.98571,0.78653,0.84951,0.44671,1.18539,0.0008912,0.0008912,0.0008912
58,509.596,0.61261,0.39386,0.96402,0.97696,0.95203,0.98832,0.79491,0.85171,0.42874,1.20826,0.0008714,0.0008714,0.0008714
59,517.592,0.59993,0.38921,0.95142,0.98859,0.9262,0.98592,0.79509,0.83778,0.45042,1.17423,0.0008516,0.0008516,0.0008516
60,525.639,0.57767,0.37703,0.94785,0.97731,0.95346,0.98824,0.79033,0.85099,0.44405,1.20923,0.0008318,0.0008318,0.0008318
61,533.577,0.59103,0.38751,0.95643,0.95089,0.9288,0.98081,0.78461,0.85871,0.47702,1.17448,0.000812,0.000812,0.000812
62,541.65,0.5707,0.37463,0.93779,0.96801,0.95941,0.98714,0.80166,0.82747,0.46999,1.17239,0.0007922,0.0007922,0.0007922
63,549.763,0.57174,0.3709,0.93492,0.93867,0.96012,0.98751,0.80096,0.84023,0.47505,1.17451,0.0007724,0.0007724,0.0007724
64,557.801,0.55794,0.3681,0.93852,0.97004,0.95594,0.98864,0.80782,0.81976,0.42881,1.18284,0.0007526,0.0007526,0.0007526
65,565.938,0.55325,0.3592,0.92891,0.95698,0.97417,0.99105,0.80853,0.84654,0.43872,1.19515,0.0007328,0.0007328,0.0007328
66,574.012,0.56574,0.36803,0.93653,0.97785,0.97723,0.98784,0.80679,0.85379,0.43321,1.18894,0.000713,0.000713,0.000713
67,582.014,0.56399,0.36847,0.94249,0.97409,0.9712,0.9865,0.80671,0.82305,0.43278,1.15757,0.0006932,0.0006932,0.0006932
68,589.999,0.56278,0.36006,0.93313,0.9699,0.9631,0.98476,0.79858,0.8602,0.44105,1.20123,0.0006734,0.0006734,0.0006734
69,597.989,0.55122,0.36163,0.93038,0.96915,0.95203,0.98568,0.79486,0.87765,0.44918,1.20261,0.0006536,0.0006536,0.0006536
70,605.963,0.53725,0.34406,0.91946,0.97023,0.96201,0.98737,0.8107,0.82684,0.43098,1.14686,0.0006338,0.0006338,0.0006338
71,614.016,0.5638,0.35835,0.93685,0.97791,0.95203,0.98317,0.80115,0.82278,0.45135,1.16167,0.000614,0.000614,0.000614
72,622.051,0.54885,0.35812,0.92991,0.95998,0.97371,0.98434,0.79748,0.84939,0.42618,1.20057,0.0005942,0.0005942,0.0005942
73,635.323,0.55092,0.34951,0.92556,0.98125,0.9654,0.98714,0.80037,0.83406,0.41029,1.18131,0.0005744,0.0005744,0.0005744
