epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,446.985,0.67528,0.46674,0.97857,0.94321,0.91936,0.97221,0.76148,0.89237,0.54147,1.16029,0.0011882,0.0011882,0.0011882
43,462.14,0.68494,0.47792,0.98368,0.92809,0.91144,0.97299,0.76311,0.94721,0.54239,1.18014,0.0011684,0.0011684,0.0011684
44,477.409,0.67947,0.46018,0.98798,0.89807,0.94281,0.97,0.75246,0.94847,0.5622,1.19208,0.0011486,0.0011486,0.0011486
45,489.758,0.66917,0.45671,0.96902,0.94498,0.91513,0.97053,0.73296,0.9786,0.56803,1.18115,0.0011288,0.0011288,0.0011288
46,505.793,0.70113,0.47246,0.98984,0.91785,0.90707,0.9663,0.72862,0.97041,0.58586,1.21559,0.001109,0.001109,0.001109
47,515.754,0.66544,0.46162,0.98055,0.93162,0.9262,0.97127,0.76013,0.91538,0.59311,1.17694,0.0010892,0.0010892,0.0010892
48,525.644,0.66558,0.4599,0.97536,0.96193,0.93232,0.96612,0.76097,0.96752,0.53322,1.2372,0.0010694,0.0010694,0.0010694
49,535.538,0.65392,0.43813,0.97461,0.95491,0.94834,0.9827,0.76711,0.91717,0.52763,1.17118,0.0010496,0.0010496,0.0010496
50,552.149,0.64842,0.43893,0.97039,0.961,0.92251,0.97697,0.76106,0.93676,0.52411,1.20578,0.0010298,0.0010298,0.0010298
51,570.583,0.67027,0.44803,0.98246,0.96812,0.90406,0.97876,0.7592,0.93479,0.59004,1.1947,0.00101,0.00101,0.00101
52,580.466,0.65626,0.43968,0.97897,0.95734,0.9108,0.97655,0.77231,0.90105,0.5218,1.16635,0.0009902,0.0009902,0.0009902
53,590.604,0.62902,0.41504,0.9569,0.94109,0.9262,0.97325,0.74677,0.98118,0.53813,1.22031,0.0009704,0.0009704,0.0009704
54,600.834,0.65798,0.43808,0.96998,0.962,0.93412,0.98268,0.77531,0.90846,0.49892,1.18735,0.0009506,0.0009506,0.0009506
55,611.487,0.65346,0.44062,0.98269,0.92789,0.96679,0.98294,0.77456,0.906,0.51765,1.18125,0.0009308,0.0009308,0.0009308
56,621.338,0.6122,0.40527,0.95113,0.95481,0.93559,0.98486,0.79587,0.87324,0.47522,1.1487,0.000911,0.000911,0.000911
57,630.555,0.63228,0.41616,0.96281,0.98422,0.92086,0.98296,0.78214,0.86659,0.47632,1.13625,0.0008912,0.0008912,0.0008912
58,639.823,0.6478,0.42802,0.96826,0.97192,0.89411,0.96223,0.75909,0.85686,0.53555,1.11591,0.0008714,0.0008714,0.0008714
59,649.203,0.63217,0.4302,0.95869,0.96933,0.93304,0.98189,0.75648,0.94602,0.50242,1.19109,0.0008516,0.0008516,0.0008516
60,658.574,0.60865,0.41005,0.95259,0.94985,0.95941,0.98536,0.78975,0.88057,0.495,1.15903,0.0008318,0.0008318,0.0008318
61,668.172,0.62039,0.41433,0.96581,0.95413,0.92107,0.97761,0.78979,0.8599,0.5212,1.14626,0.000812,0.000812,0.000812
62,677.758,0.6053,0.40069,0.94857,0.95299,0.94465,0.98031,0.77901,0.86921,0.47078,1.14404,0.0007922,0.0007922,0.0007922
63,686.907,0.60675,0.40086,0.94609,0.95524,0.94491,0.98498,0.78984,0.88546,0.48516,1.18133,0.0007724,0.0007724,0.0007724
64,695.827,0.59619,0.38958,0.9477,0.93545,0.96259,0.97766,0.7866,0.86966,0.47925,1.14555,0.0007526,0.0007526,0.0007526
65,704.651,0.59224,0.38807,0.9416,0.97655,0.92187,0.98248,0.79071,0.83716,0.45806,1.13275,0.0007328,0.0007328,0.0007328
66,713.827,0.59345,0.3936,0.94461,0.97673,0.92936,0.98047,0.79483,0.85538,0.46838,1.13397,0.000713,0.000713,0.000713
