epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,458.228,0.68674,0.47279,0.98467,0.93675,0.92906,0.97247,0.74652,0.8773,0.51224,1.19539,0.00183764,0.00183764,0.00183764
43,466.775,0.69359,0.46874,0.99135,0.93298,0.92467,0.97737,0.74449,0.91577,0.55535,1.20976,0.00183368,0.00183368,0.00183368
44,475.305,0.70174,0.47423,1.00725,0.96142,0.91953,0.97561,0.75416,0.87023,0.5128,1.17326,0.00182972,0.00182972,0.00182972
45,483.968,0.67604,0.45726,0.98321,0.94676,0.91865,0.97148,0.74116,0.89272,0.52965,1.21665,0.00182576,0.00182576,0.00182576
46,492.533,0.69125,0.46999,0.98752,0.93947,0.91643,0.96825,0.74799,0.87517,0.52797,1.1653,0.0018218,0.0018218,0.0018218
47,501.086,0.69471,0.46317,0.9966,0.92941,0.92312,0.95594,0.72955,0.88807,0.53605,1.20958,0.00181784,0.00181784,0.00181784
48,509.894,0.70926,0.49091,0.99683,0.91739,0.92251,0.96179,0.71766,0.93615,0.52692,1.19954,0.00181388,0.00181388,0.00181388
49,518.686,0.66912,0.44107,0.9785,0.96192,0.93207,0.9732,0.76021,0.80759,0.49767,1.14324,0.00180992,0.00180992,0.00180992
50,527.365,0.65627,0.46051,0.98623,0.94142,0.86347,0.93625,0.69901,0.9783,0.57471,1.27363,0.00180596,0.00180596,0.00180596
51,536.02,0.67863,0.44549,0.9769,0.94806,0.94299,0.98384,0.76115,0.87688,0.48316,1.20386,0.001802,0.001802,0.001802
52,548.516,0.66792,0.45301,0.97832,0.97668,0.91144,0.97709,0.76293,0.87222,0.4986,1.20444,0.00179804,0.00179804,0.00179804
53,564.544,0.64817,0.43674,0.97009,0.92224,0.91882,0.96916,0.76659,0.82908,0.50414,1.1304,0.00179408,0.00179408,0.00179408
54,579.071,0.64837,0.43501,0.96801,0.97662,0.9247,0.9777,0.75384,0.86963,0.48282,1.19807,0.00179012,0.00179012,0.00179012
55,588.568,0.63912,0.43075,0.97251,0.94826,0.94096,0.97439,0.77918,0.78645,0.50338,1.1412,0.00178616,0.00178616,0.00178616
56,597.854,0.63119,0.42048,0.96353,0.97095,0.89299,0.97063,0.75066,0.84352,0.50185,1.1602,0.0017822,0.0017822,0.0017822
57,607.289,0.63752,0.42295,0.96002,0.95792,0.92397,0.96864,0.76613,0.84717,0.44279,1.19257,0.00177824,0.00177824,0.00177824
58,616.818,0.64645,0.42241,0.96612,0.9268,0.93439,0.97695,0.75574,0.87433,0.51725,1.2094,0.00177428,0.00177428,0.00177428
59,626.318,0.64278,0.43362,0.96206,0.95439,0.89299,0.97136,0.76562,0.78972,0.49056,1.11175,0.00177032,0.00177032,0.00177032
60,635.689,0.62604,0.43633,0.96117,0.94095,0.94078,0.97647,0.7607,0.85473,0.48203,1.14203,0.00176636,0.00176636,0.00176636
61,645.261,0.65768,0.43608,0.98418,0.93986,0.90406,0.9739,0.74117,0.88142,0.52885,1.21663,0.0017624,0.0017624,0.0017624
62,654.657,0.61631,0.41422,0.95371,0.94325,0.93727,0.98236,0.76895,0.81808,0.47031,1.1556,0.00175844,0.00175844,0.00175844
63,664.065,0.63896,0.42237,0.95782,0.94446,0.94127,0.97909,0.77491,0.81373,0.47028,1.13968,0.00175448,0.00175448,0.00175448
64,673.533,0.62313,0.42201,0.96062,0.94752,0.94465,0.97969,0.77364,0.82445,0.47093,1.15475,0.00175052,0.00175052,0.00175052
65,682.97,0.6075,0.40627,0.9546,0.95055,0.93727,0.98028,0.76659,0.82851,0.45366,1.15589,0.00174656,0.00174656,0.00174656
